"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
31,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",17793,0.881720430107527,0.373676913978495,259.635482,1596.40625,11526.582031,645.064013,8,8,8,296424,189976
32,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",39,0.0606060606060606,0.00230821212121212,85.383879,270.132812,3121.886718,415.743589,8,8,8,37689,26681
33,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",30,0.0909090909090909,0.00177554545454545,102.668573,390.078125,2530.785156,497.033333,8,8,8,38553,33202
34,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",1246,0.636363636363636,0.221235727272727,57.400384,211.560546,3844.615234,518.067415,8,8,8,59263,21121
35,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",22,0.363636363636364,0.00390618181818182,45.589341,650.017578,4669.417968,559.681818,8,8,8,52267,49655
36,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",2852,0.806451612903226,0.179687483870968,53.747705,822.673828,12947.591796,676.451963,8,8,8,160687,62567
37,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",23337,0.935483870967742,0.490108365591398,291.280015,1468.414062,11112.357421,742.610275,8,8,8,225360,150990
38,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",7829,1,0.463364090909091,92.591124,350.568359,4096.707031,299.821688,8,8,8,76473,48152
39,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2497,1,0.443359363636364,23.414453,430.894531,4353.929687,229.601121,8,8,8,88884,51651
40,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",8699,1,0.514855575757576,72.935778,545.542968,4595.191406,274.898953,8,8,8,106033,59223
41,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",7816,1,0.492439516129032,130.497626,1270.925781,11751.914062,625.647262,8,8,8,331321,144139
42,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",526,0.10752688172043,0.0110466989247312,218.240416,1391.583984,7284.05664,974.454372,8,8,8,198762,132337
43,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",16178,0.913978494623656,0.339759741935484,342.364239,793.792968,10442.345703,832.481085,8,8,8,136001,95327
44,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2306,1,0.409446,43.571735,282.472656,4265.234375,279.123156,8,8,8,60179,29235
45,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",9874,1,0.622101806451613,90.473437,1245.572265,13873.919921,652.503949,8,8,8,394930,119560
46,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",10,0.0303030303030303,0.000591848484848485,123.498091,276.451171,2384.234375,511.4,8,8,8,26204,20249
47,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",43,0.0967741935483871,0.00270916129032258,240.001164,1223.255859,9528.666015,881.651162,8,8,8,123907,100262
48,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",19718,0.89247311827957,0.414104494623656,290.221423,1195.789062,11295.738281,746.063901,8,8,8,262589,159616
49,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",8,0.0909090909090909,0.00142045454545455,6.019436,22.898437,3971.542968,649,8,8,8,5159,2298
50,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",44,0.181818181818182,0.00781245454545455,37.675092,224.742187,4376.173828,437.15909,8,8,8,41020,28794
