"EXPERIMENT","EVENNESS_CONTROL","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
455,"d","p","a","s","t",3,4,225,33,4,28,"d",2111.15050167224,0.286206547076112,0.124949708726057,94.7420223411371,25.702295,3607.95332050836,563.904096884462,7.48160535117057,8.88628762541806,7.18394648829431,9601.54849498328,1879.69230769231
456,"d","p","a","s","t",3,4,625,31,12,78,"d",4044.59531772575,0.549250188801381,0.254825798036466,163.143253143813,101.459552257525,14668.5434974281,1325.7947575979,7.27090301003344,9.79598662207358,6.51170568561873,36091.9397993311,8328.54849498328
457,"d","p","a","s","t",3,4,225,11,4,28,"d",1120.91638795987,0.577379142596534,0.199026308300395,77.4896110602007,29.4166488494983,4032.92744652843,466.543509596774,8.1505016722408,8.41471571906355,7,12310.7658862876,2001.46488294314
458,"d","p","a","s","t",3,4,625,93,12,78,"r",14654.983277592,0.613802280001438,0.307774341029237,410.093689053512,141.756361946488,13290.514821097,820.850684840678,9.1371237458194,7.54515050167224,6.49163879598662,40612.6956521739,15351.2240802676
459,"d","p","a","s","t",3,4,625,93,12,78,"r",20095.508361204,0.729852195490344,0.422032680440177,315.587935093646,615.644654949833,11954.372412796,811.525124388514,6.31438127090301,8.66220735785953,7.64882943143813,126753.16722408,49209.5284280936
460,"d","p","a","s","t",3,4,625,31,12,78,"d",2981.70903010033,0.468011651742367,0.187859677095695,140.460530782609,370.843246585284,13637.0566793846,1219.15351979137,6.11036789297659,10.4080267558528,6.8494983277592,136907.819397993,31307.8829431438
461,"d","p","a","s","t",3,4,625,31,12,78,"r",7927.8093645485,0.839141223432949,0.499483940662423,118.534122351171,1327.80280580936,13317.0573260502,768.288952687075,6.04013377926421,10.8729096989967,6.63210702341137,316562.431438127,163370.742474916
462,"d","p","a","s","t",3,4,225,33,4,28,"r",7914.38127090301,0.79477044694436,0.468417437417655,64.1615214113712,193.559337979933,4481.15781075251,325.329442303754,6.35785953177258,9.98996655518395,7.18729096989967,35460.9431438127,26862.6120401338
463,"d","p","a","s","t",3,4,625,93,12,78,"r",20534.4414715719,0.739597942964002,0.431250866004963,239.241421949833,1532.93327323411,16047.7472103043,816.052356860544,6.23076923076923,10.628762541806,6.80602006688963,328846.501672241,196105.414715719
464,"d","p","a","s","t",3,4,625,93,12,78,"r",19494.4849498328,0.719638939835293,0.409410380299924,268.731642304348,106.280243608696,14616.743898505,868.869401227119,6.39130434782609,10.61872909699,6.61538461538461,38972.3946488294,9491.33110367893
465,"d","p","a","s","t",3,4,225,11,4,28,"r",2715.64882943144,0.846153846153846,0.482181920948617,31.4835258628763,65.9418499866221,4156.11625946823,313.015881167832,6.37458193979933,10.2173913043478,6.67892976588629,9537.2474916388,3790.86287625418
466,"d","p","a","s","t",3,4,625,93,12,78,"d",2345.01672240803,0.137483367497393,0.0492484979681375,255.469789468227,88.5492457257525,11103.3035896388,1242.18930686219,7.82608695652174,8.38127090301003,7.438127090301,34652.0535117057,6503.1872909699
467,"d","p","a","s","t",3,4,625,31,12,78,"r",8374.05016722408,0.866652281799547,0.527598911209408,153.963538521739,865.131551361204,12950.883876796,782.795425067797,6.61538461538461,10.1304347826087,6.80602006688963,244922.441471572,99195.0869565217
468,"d","p","a","s","t",3,4,625,93,12,78,"d",1983.06688963211,0.122271370518215,0.0416470653432589,242.808705963211,126.966887886288,9524.17887706689,1363.82193807527,7.75250836120401,8.06688963210702,7.8561872909699,41403.7959866221,10879.3043478261
469,"d","p","a","s","t",3,4,225,33,4,28,"r",6927.6856187291,0.783419479071653,0.410019255903517,85.0853237491639,63.8774491438127,4628.49530289967,310.633951269625,7.07692307692308,9.34113712374582,7.10702341137124,11561.7157190635,5849.69565217391
470,"d","p","a","s","t",3,4,625,93,12,78,"d",2707.24080267559,0.151688423778185,0.0568556901140001,223.875491056856,160.844566113712,12772.7844699231,1208.74737344211,7.46822742474916,8.78929765886288,7.37458193979933,47396.4481605351,13359.3244147157
471,"d","p","a","s","t",3,4,225,33,4,28,"r",6730.5016722408,0.745515354211006,0.398348805209283,64.6876801337793,84.7965871137124,4767.67237751839,304.751467576271,6.2876254180602,10.1404682274247,7.16387959866221,21783.6956521739,9500.24080267559
472,"d","p","a","s","t",3,4,225,33,4,28,"d",2133.83612040134,0.284889024019459,0.126292369311848,94.2066950334448,59.3620397123746,3013.33269708696,541.473176029197,7.46822742474916,8.20735785953177,7.96321070234114,27110.2742474916,2085.35117056856
473,"d","p","a","s","t",3,4,225,11,4,28,"r",2865.872909699,0.871693523867437,0.508855231073275,29.5989770468227,42.9098357257525,4931.67770125418,317.727106715278,6.09698996655518,10.2642140468227,7.02675585284281,12132.8294314381,4058.59866220736
474,"d","p","a","s","t",3,4,225,11,4,28,"d",1709.08695652174,0.668592277287929,0.303460000608088,100.988576240803,491.024136026756,2636.39799940468,306.720446842491,8.60200668896321,7.83277591973244,7.03344481605351,192405.782608696,26864.9197324415
475,"d","p","a","s","t",3,4,225,11,4,28,"d",1420.97993311037,0.614776527820006,0.252304635147461,65.8526883913043,968.316876157191,3063.00015637124,364.071613812274,7.57190635451505,9.75919732441472,6.27759197324415,285160.591973244,174914.866220736
476,"d","p","a","s","t",3,4,225,11,4,28,"d",1353.81939799331,0.669200364852539,0.240379823654606,80.8167412508361,31.950805638796,3394.51080380602,372.819321467626,7.53511705685619,8.47157190635452,6.92976588628763,11995.6220735786,2488.79598662207
477,"d","p","a","s","t",3,4,625,31,12,78,"r",8417.22408026756,0.883051030316107,0.53031904164419,137.810765070234,92.5383108528428,9631.6358822107,834.472809399317,6.46153846153846,9.79598662207358,7.29765886287625,37829.5016722408,6141.47826086957
478,"d","p","a","s","t",3,4,625,93,12,78,"d",629.986622073579,0.0557773222569857,0.0132305612615528,277.150106769231,86.3986983377926,7708.73029193311,1332.67768492337,8.42140468227425,7.22073578595318,8.04682274247492,34401.5719063545,5607.49163879599
479,"d","p","a","s","t",3,4,625,93,12,78,"d",2748.97658862876,0.156075808249721,0.0577321981155824,273.633498247492,70.1299510033445,12407.7758866187,1297.22325829348,7.67558528428094,8.59197324414716,7.30434782608696,29982.1404682274,4157.99665551839
480,"d","p","a","s","t",3,4,625,31,12,78,"d",3576.29431438127,0.508361204013378,0.225320947998705,200.664476692308,472.252272759197,10333.6697450635,871.467527353147,7.42140468227425,8.69899665551839,7.20066889632107,208666.72909699,21866.856187291
