"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","QUALITY","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
67,"a","g","b","h",3,8,625,31,12,78,"d",17.5953177257525,0.040888984788003,0.00110856564893732,0.00501826086956522,170.358551491639,1773.38288393645,700.588829693548,74738.3846153846,11144.2508361204
68,"a","g","b","h",3,8,625,31,12,78,"r",4240.42474916388,0.573632538569425,0.267163842377819,1.03606956521739,532.113306966555,1714.05390974582,418.519077151007,147084.18729097,63367.6856187291
69,"a","g","b","h",3,8,225,33,4,28,"r",1578.59531772575,0.257829127394345,0.0934301072261072,0.386203043478261,144.663591725752,653.997863551839,224.81301080339,36558.2775919732,15184.2073578595
70,"a","g","b","h",3,8,225,33,4,28,"r",1546.55852842809,0.239282456673761,0.0915339892571197,0.378435277591973,156.083872879599,592.169196364548,196.306399238908,43510.1605351171,14345.4782608696
71,"a","g","b","h",3,8,625,31,12,78,"d",1.90969899665552,0.0267558528428094,0.000120311144675801,0.00117053846153846,66.3790952173913,1590.22553648495,833.03672512069,29859.6856187291,3500.98327759197
72,"a","g","b","h",3,8,225,11,4,28,"r",6.75250836120401,0.0915171784737002,0.00119892459714199,0.0024006889632107,17.6525588896321,766.466384889632,272.63834812766,7743.29765886288,1085.1237458194
73,"a","g","b","h",3,8,225,11,4,28,"r",116.535117056856,0.176041349954393,0.0206915700820918,0.0292291070234114,76.2662451304348,751.09436358194,282.844022126354,29785.0702341137,4319.67892976589
74,"a","g","b","h",3,8,225,33,4,28,"r",2194.86622073579,0.322286409242931,0.129904473598865,0.53669516722408,168.002671250836,688.837955501672,198.369284902027,40211.8829431438,16750.4381270903
75,"a","g","b","h",3,8,225,11,4,28,"d",541.859531772575,0.359987838248708,0.0962108136211614,0.132954772575251,174.717528086957,602.286821531773,307.916093630662,53907.9264214047,17763.397993311
76,"a","g","b","h",3,8,225,33,4,28,"d",0.0234113712374582,0.000709435492044188,1.3855275159623e-06,0.000725257525083612,47.761261083612,363.794836525084,411.571428571429,23174.9565217391,1209.2508361204
77,"a","g","b","h",3,8,225,33,4,28,"r",2229.4381270903,0.305969392925915,0.131950632005675,0.545137551839465,186.832455428094,648.569312645485,172.126641577181,51276.2508361204,20190.7525083612
78,"a","g","b","h",3,8,625,31,12,78,"d",534.515050167224,0.157622181465099,0.0336765919732442,0.131184662207358,235.024410364548,2048.01130024749,697.572669570866,80139.491638796,16753.6822742475
79,"a","g","b","h",3,8,225,33,4,28,"d",0.0100334448160535,0.000304043782304652,5.93797506840985e-07,0.000680284280936455,22.7395937826087,267.539094722408,409.333333333333,11077.1505016722,535.010033444816
80,"a","g","b","h",3,8,625,93,12,78,"d",3.52173913043478,0.00999748264825404,7.39573848311576e-05,0.00161586956521739,175.362059264214,1043.05517044816,697.393366806818,67663.491638796,15380.0367892977
81,"a","g","b","h",3,8,225,11,4,28,"r",8.19732441471572,0.106415323806628,0.00145545272119185,0.00274558862876254,24.9377673913043,703.117330762542,287.216379323024,11696.3177257525,921.709030100334
82,"a","g","b","h",3,8,225,33,4,28,"r",8.78929765886288,0.0385122124252559,0.00052018607479477,0.00298557525083612,24.8793107892977,610.617317685619,299.056111886986,11340.5919732441,1272.99331103679
83,"a","g","b","h",3,8,625,31,12,78,"d",977.471571906354,0.325169921242853,0.0615846370698026,0.239265143812709,457.471120735786,1692.99438841137,501.90191705618,158084.110367893,43164.9331103679
84,"a","g","b","h",3,8,625,93,12,78,"r",10852.602006689,0.472830582227497,0.227919223828532,2.65039300668896,511.974654662207,2170.93309034114,285.466301010204,117402.591973244,65288.7658862876
85,"a","g","b","h",3,8,625,93,12,78,"d",258.538461538462,0.0413205308015967,0.005429650663502,0.063821856187291,212.312473434783,1406.69975394983,713.155981481203,87777.7324414716,15851.4381270903
86,"a","g","b","h",3,8,625,93,12,78,"d",1.34782608695652,0.00575394684791599,2.83044916747582e-05,0.00107119732441472,133.593775719064,817.675833056856,943.061447575949,61072.7759197324,6543.09698996656
87,"a","g","b","h",3,8,625,93,12,78,"d",1253.19397993311,0.0991476966231524,0.0263187530477937,0.306692347826087,418.135790732441,1266.95045939465,819.347889135231,112603.424749164,50132.4013377926
88,"a","g","b","h",3,8,625,93,12,78,"r",13319.906354515,0.506814830798,0.279735931420146,3.2527655819398,795.311957377926,2308.87835709365,257.886473433898,196612.852842809,92608.3545150502
89,"a","g","b","h",3,8,225,33,4,28,"d",0.17056856187291,0.00476335258943955,1.00945576162967e-05,0.000822284280936455,87.9891038896321,581.253964595318,433.425531914894,39757.4581939799,4673.6889632107
90,"a","g","b","h",3,8,225,33,4,28,"r",390.297658862876,0.111888111888112,0.0230999894598155,0.0961031371237458,77.0488864916388,562.060239411371,241.754205339041,30591.7525083612,6000.90635451505
91,"a","g","b","h",3,8,225,11,4,28,"r",12.5351170568562,0.120097294010337,0.00222565916692004,0.00386034113712375,56.9846554615385,851.624509648829,289.781854767361,25954.6989966555,2953.98996655518
92,"a","g","b","h",3,8,625,31,12,78,"r",2274.10367892977,0.355917574711404,0.143277686589708,0.555992762541806,277.008269301003,1808.96351731773,524.191450922297,80016.9966555184,32357.2408026756
93,"a","g","b","h",3,8,625,31,12,78,"r",4609.68227424749,0.588089330024814,0.290428554644514,1.12624349498328,460.563603494983,2061.84893611706,364.966223935811,133883.795986622,55515.0903010033
94,"a","g","b","h",3,8,225,33,4,28,"d",0.00334448160535117,0.000101347927434884,1.97932502280328e-07,0.000753451505016722,73.0689729531773,292.967371274248,273,34058.1070234114,2417.72240802676
95,"a","g","b","h",3,8,225,33,4,28,"r",30.1672240802676,0.0527009222661397,0.00178545170771258,0.00821117725752508,43.9162960635452,510.655818448161,285.845702142857,18846.5451505017,3056.79598662207
96,"a","g","b","h",3,8,625,93,12,78,"d",2.94314381270903,0.00952997446686086,6.18064516129032e-05,0.00146961538461538,215.473282892977,1029.62729237793,934.484232105882,98499.7859531773,10528.237458194
97,"a","g","b","h",3,8,625,31,12,78,"r",3418.97324414716,0.491746682490021,0.215409085877657,0.835485321070234,591.833539732441,2030.57562273913,425.317588208904,181879.130434783,72404.4481605351
98,"a","g","b","h",3,8,225,11,4,28,"r",2.97658862876254,0.0848282152629979,0.000528484037701429,0.00148574247491639,23.433475722408,852.833846772575,301.598727929134,11183.2341137124,740.538461538462
99,"a","g","b","h",3,8,225,11,4,28,"d",0.0602006688963211,0.00516874429917908,1.06883551231377e-05,0.000737140468227425,66.5839251170569,593.707651384615,369.529411764706,32839.9565217391,1083.10033444816
100,"a","g","b","h",3,8,225,11,4,28,"r",11.7458193979933,0.131650957737914,0.00208551140164184,0.00363421070234114,23.7807596454849,970.419856107023,280.993331363322,10868.8494983278,1152.9364548495
101,"a","g","b","h",3,8,625,31,12,78,"r",2195.04013377926,0.337037436616679,0.138296364440608,0.536710799331104,327.329182789298,1835.16462381605,604.322787283276,116071.02006689,25462.779264214
102,"a","g","b","h",3,8,625,31,12,78,"d",1320.5652173913,0.303268961052972,0.083200920271874,0.323068735785953,289.502200929766,2481.32670056522,581.746144138996,94719.1672240803,30656.8227424749
103,"a","g","b","h",3,8,625,93,12,78,"r",9733.63545150502,0.411515086129392,0.204419422267774,2.37720027090301,569.172442866221,1797.53474427759,286.775975071186,151406.080267559,74922.0735785953
104,"a","g","b","h",3,8,225,11,4,28,"d",1.91973244147157,0.0738826391000304,0.000340841289145637,0.00121861538461538,102.194201595318,710.654152759197,366.800555477273,50820.6555183946,1333.69899665552
105,"a","g","b","h",3,8,625,31,12,78,"r",4324.67224080268,0.582802891358291,0.272471773330456,1.0566508361204,544.965836200669,1985.72366829431,294.873906697595,154296.551839465,70208.3377926421
106,"a","g","b","h",3,8,625,93,12,78,"r",12199.1672240803,0.457978206926314,0.256198903261769,2.97916401003344,647.203843117057,2185.08151477258,321.044728648649,167988.986622074,84071.347826087
107,"a","g","b","h",3,8,225,11,4,28,"d",0.214046822742475,0.0161143204621465,3.8003040437823e-05,0.000787123745819398,67.7517044715719,598.870727521739,381.128930811321,32639.1137123746,1987.41806020067
108,"a","g","b","h",3,8,625,31,12,78,"r",4473.92307692308,0.552702556910131,0.281875178767936,1.09308713043478,601.925584882943,2448.88525508696,408.52690221017,152351.899665552,74970.2274247492
109,"a","g","b","h",3,8,625,31,12,78,"d",106.769230769231,0.0584744848419463,0.00672687970654871,0.0268083110367893,443.903283953177,1936.40050776923,733.001561292593,181598.929765886,36495.8428093645
110,"a","g","b","h",3,8,225,11,4,28,"d",2.38795986622074,0.081179689875342,0.00042397233201581,0.0012693143812709,25.9194641906355,544.620178789298,337.217097975104,12358.8662207358,823.250836120401
111,"a","g","b","h",3,8,625,31,12,78,"d",167.321070234114,0.071097205739562,0.0105418922213831,0.041555347826087,275.154348729097,1852.0147949699,816.874550257143,109726.638795987,24584.4648829431
112,"a","g","b","h",3,8,625,93,12,78,"r",10820.2842809365,0.440464631207969,0.227240507929658,2.64252484280936,647.158548876254,2179.53228818729,243.358262780405,150071.421404682,74918.2675585284
113,"a","g","b","h",3,8,225,11,4,28,"r",198.347826086957,0.219823654606263,0.0352179674673153,0.0491786588628763,82.9348147959866,721.639298535117,268.602579090278,32661.7224080268,6267.25752508361
114,"a","g","b","h",3,8,225,11,4,28,"r",11.5986622073579,0.105807236242019,0.00205938218303436,0.00356567224080268,28.8111147525084,765.79305322408,296.416590342561,13437.4414715719,1217.88628762542
115,"a","g","b","h",3,8,625,93,12,78,"r",9346.2508361204,0.391699931671881,0.196283824252886,2.28263049498328,710.181215625418,1914.81057908696,351.945563084459,178479.384615385,89025.7190635452
116,"a","g","b","h",3,8,225,33,4,28,"d",0.0334448160535117,0.00101347927434884,1.97932502280328e-06,0.000746277591973244,28.605566264214,370.447598331104,515.4,13330.72909699,1224.79598662207
117,"a","g","b","h",3,8,225,33,4,28,"r",3803.18060200669,0.474713692104996,0.225093534407621,0.929339595317726,242.498111752508,816.688440190635,159.185740647458,60977.8093645485,26085.143812709
118,"a","g","b","h",3,8,625,31,12,78,"r",1422.65217391304,0.267558528428094,0.0896328091487755,0.348135234113712,257.8669780301,1621.85129425418,516.126629088737,83720.110367893,23299.2140468227
119,"a","g","b","h",3,8,625,93,12,78,"r",7758.6889632107,0.32599705110224,0.16294289150214,1.89503662541806,634.100425458194,1987.62729888963,366.010961424242,160869.652173913,75924.9966555184
120,"a","g","b","h",3,8,625,31,12,78,"d",613.42474916388,0.226993203150286,0.0386482194411479,0.150425588628763,437.343044110368,2247.52591271906,692.441540431655,126890.157190635,36377.7892976589
121,"a","g","b","h",3,8,625,31,12,78,"r",5012.9397993311,0.623368216636099,0.315835405221707,1.22470289297659,546.042302003345,2259.65866647492,375.768510044068,134633.872909699,75489.5852842809
122,"a","g","b","h",3,8,625,31,12,78,"d",0.872909698996655,0.016506635019959,5.49933110367893e-05,0.000870605351170569,97.3117744916388,1431.65077560535,940.875999946667,44139.4816053512,4385.32775919732
123,"a","g","b","h",3,8,225,33,4,28,"r",612.809364548495,0.137427789601703,0.0362694792743488,0.150422785953177,65.7234070167224,562.739077742475,266.596289938567,21796.0635451505,6496.52842809365
124,"a","g","b","h",3,8,625,31,12,78,"r",5267.70234113712,0.63631459704391,0.331886472974431,1.28688501672241,489.636071615385,2316.42992874916,358.798593812925,132576.862876254,63243.0869565217
125,"a","g","b","h",3,8,225,33,4,28,"d",0.0468227424749164,0.00111482720178372,2.7710550319246e-06,0.000750508361204013,42.2618162742475,377.826008147157,433.984848454545,18821.0568561873,2102.76254180602
