"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
35,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,173.929688,137.523437,2507.693359,NA,27505,22621
36,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",1,0.0909090909090909,0.000177545454545455,73.263021,170.007812,865.378906,21,49607,21501
37,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",1,0.032258064516129,6.3e-05,174.717797,343.652343,1492.285156,1689,70327,46431
38,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,390.390954,72.904296,1005.826171,NA,17374,9290
39,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,698.168295,640.197265,1994.974609,NA,139700,88479
40,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,222.749024,146.011718,595.230468,NA,24455,19244
41,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,341.805989,773.357421,2609.496093,NA,249846,98343
42,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,15.145834,202.449218,1016.109375,NA,30264,20519
43,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,178.929692,151.611328,541.632812,NA,30233,23404
44,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,105.211702,93.521484,651.259765,NA,29004,12650
45,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,90.750807,215.576171,346.421875,NA,34216,29513
46,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,133.66211,249.039062,2238.361328,NA,59902,29422
47,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,218.787439,116.255859,462.070312,NA,26211,16228
48,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,408.087239,445.015625,1672.669921,NA,102651,60867
49,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,57.210937,29.8125,540.054687,NA,7339,3594
50,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,117.729404,40.107421,501.849609,NA,9942,5786
51,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,111.832359,179.642578,677.802734,NA,49246,25475
52,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,208.3125,96.220703,540.507812,NA,21998,11961
53,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,641.297526,385.982421,1339.648437,NA,88319,60090
54,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",1,0.032258064516129,6.3e-05,263.799486,809.966796,1730.144531,459,157243,129980
55,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",4,0.0909090909090909,0.000710181818181818,50.665406,63.177734,813.945312,138.75,18149,9259
56,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,401.656251,647.029296,1610.363281,NA,187249,86662
57,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,341.783854,379.53125,1819.224609,NA,83004,75715
58,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",32,0.010752688172043,0.000672043010752688,479.18109,559.835937,1649.794921,800.625,174731,80661
59,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,214.348237,150.058593,397.855468,NA,38913,20174
60,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,81.949221,34.279296,886.449218,NA,7863,4606
61,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,66.634768,168.59375,763.566406,NA,44611,28311
62,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,151.338217,95.134765,451.714843,NA,16759,13383
63,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",700,0.151515151515152,0.0414299090909091,109.742479,61.689453,613.345703,146.911428,16566,7968
64,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",2,0.0909090909090909,0.000355090909090909,81.083217,25.261718,581.578125,166,10787,1257
65,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,156.336263,239.435546,717.509765,NA,54981,29633
66,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,136.108072,196.470703,620.044921,NA,41956,28320
