"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
720,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",66,0.0606060606060606,0.00390624242424242,115.790665,102.644531,1287.445312,387.787878,21775,10996
721,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",4,0.010752688172043,8.4e-05,346.599011,508.136718,3931.060546,1504.75,85066,52672
722,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",2357,1,0.418501363636364,47.363911,340.74414,2055.5,240.741196,95880,43867
723,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",2,0.010752688172043,4.2e-05,243.79745,476.875,3375.390625,1630,100588,69691
724,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",24,0.032258064516129,0.00151209677419355,169.213259,815.55664,4112.283203,1109.916666,178646,114831
725,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",39,0.272727272727273,0.00692463636363636,81.562379,274.382812,1430.164062,358.410256,57954,35069
726,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",22,0.181818181818182,0.00390618181818182,24.084864,414.49414,2306.52539,463.863636,108428,53761
727,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",5971,0.838709677419355,0.376197064516129,221.612284,1314.21289,4638.474609,669.093786,346696,152371
728,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",21,0.181818181818182,0.00372863636363636,43.854214,261.183593,1989.353515,481.190476,53800,37436
729,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",3996,0.636363636363636,0.236505666666667,94.424782,380.253906,1779.826171,294.961211,97712,46423
730,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",7532,0.870967741935484,0.47454635483871,121.149403,1039.326171,5655.070312,612.168746,287900,135132
731,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",21,0.0606060606060606,0.00124287878787879,100.518923,309.470703,1345.75,387.142857,68611,29819
732,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",63,0.181818181818182,0.011186,61.32684,154.582031,2189.376953,408.428571,34312,22347
733,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",7,0.021505376344086,0.000147,286.86469,383.523437,3626.855468,1275.714285,56656,44210
734,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",3,0.032258064516129,0.000189,122.829415,914.890625,5609.46289,874.666666,147132,118975
735,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",21,0.021505376344086,0.000441021505376344,341.525767,429.193359,3412.253906,935.714285,94476,36612
736,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",2421,1,0.429865,35.710265,420.828125,2093.552734,184.558033,155395,40010
737,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",1805,1,0.32049,37.230111,428.001953,1882.166015,296.035457,130938,48866
738,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",14,0.0606060606060606,0.000828575757575758,120.722209,211.18164,1477.460937,419.5,43031,19381
739,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",131,0.129032258064516,0.00825351612903226,191.979167,573.267578,4871.904296,1196.999999,88558,70159
740,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",29,0.021505376344086,0.000609032258064516,393.684998,388.613281,2409.330078,1171.689655,115510,40562
741,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",23,0.032258064516129,0.000483021505376344,250.068107,779.279296,3109.71289,1207.217391,123782,94112
742,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",11,0.0606060606060606,0.000651030303030303,33.062353,366.351562,1509.78125,313.181818,100244,32733
743,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",3877,0.709677419354839,0.244266612903226,223.869616,774.935546,4117.144531,739.145215,245757,113446
744,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",12957,0.559139784946237,0.272114408602151,45.742338,1586.25,6562.535156,794.626379,411361,219206
745,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",11,0.0303030303030303,0.000651030303030303,69.871655,167.654296,1554.527343,326.727272,49551,12464
746,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",310,0.363636363636364,0.0550425454545455,32.547773,438.923828,1900.027343,405.680645,111958,39218
747,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",0,0,0,112.641706,169.005859,1208.177734,NA,20377,19203
748,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",5,0.0303030303030303,0.000295909090909091,38.352505,592.886718,1738.9375,594,207932,55595
749,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",11892,0.548387096774194,0.249747978494624,238.443812,1036.324218,5486.623046,766.075597,265804,166289
750,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",4865,0.774193548387097,0.306514612903226,237.238578,759.722656,5433.009765,701.912024,188582,129534
751,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",14,0.021505376344086,0.000294010752688172,388.344612,570.291015,3328.429687,781.142857,98701,69574
752,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",14,0.181818181818182,0.00248572727272727,54.826881,215.677734,1288.625,453.785714,30185,22243
753,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",17390,0.752688172043011,0.365213365591398,324.502262,1161.041015,5155.205078,675.386716,273807,158355
754,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",23,0.0909090909090909,0.00408372727272727,2.213084,462.232421,2564.820312,528.173913,137278,46068
755,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",35,0.032258064516129,0.000735043010752688,299.854383,739.296875,3424.46289,882.714285,141763,81386
756,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",430,0.193548387096774,0.0270917096774194,39.567951,1318.96289,5703.519531,1000.144186,263095,174640
757,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",13,0.021505376344086,0.000273010752688172,77.938669,177.767578,3786.638671,635.76923,55280,21033
758,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",5,0.010752688172043,0.000105,176.131305,872.767578,4699.005859,959.4,153419,118606
759,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",3086,0.548387096774194,0.194430419354839,208.099909,481.142578,4650.78125,911.490278,139295,46225
760,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",5306,0.787878787878788,0.314038818181818,91.192203,315.304687,2058.166015,266.767433,81130,33590
761,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",24,0.0606060606060606,0.00142042424242424,103.093959,282.066406,1962.576171,418.416666,36109,31499
762,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",3,0.010752688172043,6.3e-05,325.061799,453.021484,3568.796875,1212.333333,65516,51234
763,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",0,0,0,9.507913,437.675781,1427.902343,NA,113421,54127
764,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",1,0.0303030303030303,5.91818181818182e-05,87.85803,67.941406,1403.65625,466,15873,6372
765,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",4704,0.870967741935484,0.296370935483871,179.17218,887.935546,5054.855468,748.753401,280560,111787
766,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",132,0.032258064516129,0.00277217204301075,141.629,581.605468,3835.113281,1053.810606,142778,62208
767,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",15956,0.634408602150538,0.335097440860215,341.105658,1061.966796,4504.039062,638.627914,229346,164830
768,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",2469,0.484848484848485,0.146129242424242,103.317034,304.849609,1547.738281,333.443499,79388,35257
769,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",4061,0.606060606060606,0.240352727272727,94.28465,389.226562,1732.980468,302.345235,98507,55587
770,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",2,0.010752688172043,4.2e-05,157.0624,501.195312,4710.042968,1266.5,86369,56248
771,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",109,0.181818181818182,0.0193536363636364,53.725605,97.789062,1792.947265,357.880733,27837,11629
772,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",5,0.032258064516129,0.000315,143.421144,805.248046,3596.507812,1403.8,176756,120592
773,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",427,0.363636363636364,0.0758167272727273,61.874561,380.882812,1544.99414,392.606557,76858,40234
774,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",6,0.021505376344086,0.000126,206.031129,957.064453,4049.738281,1255.166666,184128,117150
775,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",3,0.0909090909090909,0.000532636363636364,11.801067,411.216796,1888.779296,535.666666,111606,40988
776,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",1607,0.909090909090909,0.285333727272727,70.284629,327.388671,2190.324218,214.678282,87817,38526
777,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",29,0.032258064516129,0.00182709677419355,157.983267,1048.974609,3944.130859,1230.965517,312748,104936
778,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",13,0.032258064516129,0.000819032258064516,213.233595,1149.240234,3799.380859,923.846153,237167,169427
779,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",3,0.0303030303030303,0.000177545454545455,27.405668,544.75,1586.029296,247,154098,56041
780,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",12,0.0303030303030303,0.000710212121212121,87.176998,186.492187,1387.539062,422.583333,35131,18900
781,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",871,0.636363636363636,0.154651909090909,66.779921,367.986328,1776.513671,361.934557,96306,30677
782,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",2205,1,0.391512727272727,19.407203,454.447265,2395.509765,228.339229,142844,56691
783,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",23,0.0645161290322581,0.00144906451612903,69.319841,1037.222656,6562.138671,1016.130434,249166,147859
784,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",6909,0.903225806451613,0.435294838709677,211.465469,1461.085937,5607.140625,554.220726,412721,172206
785,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",32,0.043010752688172,0.000672043010752688,331.549052,631.705078,3401.630859,967.3125,127131,79244
786,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",2321,1,0.412109363636364,45.280404,470.035156,1737.429687,232.510986,125386,60975
787,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",17,0.121212121212121,0.00100615151515152,126.445829,199.667968,1346.257812,340.235294,36121,18358
788,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",7401,0.935483870967742,0.466292838709677,91.023586,886.435546,7117.748046,517.207539,244180,143969
789,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",5,0.0909090909090909,0.000887727272727273,42.164532,469.927734,2068.253906,448.4,88195,61165
790,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",17,0.0645161290322581,0.00107106451612903,162.767943,1103.621093,3665.65039,1117.823529,258757,120333
791,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",27,0.0606060606060606,0.001598,105.583604,193.416015,1134.933593,340.185185,32510,20060
792,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",10,0.021505376344086,0.000210010752688172,171.494718,1076.304687,4994.859375,1090.899999,147940,129493
793,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",54,0.0967741935483871,0.0034021935483871,200.789348,834.611328,4348.109375,1253.24074,125718,104996
794,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",10009,0.505376344086022,0.210202451612903,341.636365,847.205078,4140.68164,746.101308,213641,99882
795,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",4952,0.935483870967742,0.311995967741935,137.55483,1181.25,5408.935546,512.863287,241225,148780
796,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",1329,0.818181818181818,0.235973,31.712857,173.927734,2125.007812,276.313017,59657,20187
797,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",43,0.021505376344086,0.00090305376344086,158.328055,956.410156,4331.283203,1231.953488,232308,123589
798,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",6443,0.806451612903226,0.405934967741935,113.134582,907.880859,5921.05664,692.165295,298942,94223
799,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"r",4998,0.483870967741935,0.104964709677419,244.777658,820.792968,4044.046875,476.70208,239632,100195
800,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"r",11,0.0645161290322581,0.000693032258064516,238.058795,421.18164,3695.574218,1250.90909,86342,38775
801,"a","mo","3_4",3,12,1,"s","b",3,4,625,93,12,78,"d",2,0.010752688172043,4.2e-05,160.367884,790.242187,4196.652343,1215,171044,84396
802,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",8,0.0303030303030303,0.000473484848484848,58.443638,137.162109,1130.673828,510,28124,16365
803,"a","mo","3_4",3,12,1,"s","b",3,4,625,31,12,78,"d",38,0.0645161290322581,0.00239412903225806,9.210561,1235.648437,5732.15039,1033.815789,326509,181401
804,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",2,0.0303030303030303,0.000118363636363636,44.49652,364.378906,1527.34375,487,80655,57491
805,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"r",4196,0.666666666666667,0.248342787878788,100.751596,286.367187,1834.945312,280.324118,59442,44535
806,"a","mo","3_4",3,12,1,"s","b",3,4,225,33,4,28,"d",3,0.0303030303030303,0.000177545454545455,92.42744,221.210937,1239.214843,377,37457,30301
807,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"r",2338,1,0.415127818181818,44.817856,417.138671,2268.470703,267.875106,134754,36531
808,"a","mo","3_4",3,12,1,"s","b",3,4,225,11,4,28,"d",18,0.0909090909090909,0.003196,28.274353,157.289062,1643.601562,476.388888,39406,18588
809,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",4534,0.870967741935484,0.285660258064516,155.308309,1546.511718,12031.433593,1050.364799,261498,162777
810,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",4,0.0606060606060606,0.000236727272727273,108.008899,524.162109,3308.759765,402,36200,31425
811,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",7164,1,0.451360870967742,117.474754,1006.035156,11202.476562,475.853573,225949,132538
812,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",4973,0.96969696969697,0.29433,40.170061,315.523437,4548.361328,257.413834,59432,42986
813,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",9603,0.96969696969697,0.568359363636364,57.098711,566.232421,3939.160156,253.136623,128467,60981
814,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",3,0.0303030303030303,0.000177545454545455,78.433415,342.636718,2313.441406,407,37550,25034
815,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",5,0.0303030303030303,0.000295909090909091,102.735552,366.791015,2617.451171,397.6,32589,24297
816,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",3467,1,0.615589454545455,25.12913,323.332031,4805.466796,221.90222,68232,38817
817,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",1476,0.451612903225806,0.092993935483871,199.991578,1689.671875,10722.951171,1079.909891,252562,168260
818,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",9525,1,0.600113387096774,169.860667,1328.261718,12401.960937,652.493753,293407,161934
819,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",7885,1,0.496786774193548,123.78078,2555.701171,17152.767578,822.12733,356530,182945
820,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",2842,1,0.504616454545455,8.473254,596.310546,5101.513671,195.099577,109994,55927
821,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",7248,1,0.456653225806452,170.696225,1290.007812,11767.5625,896.825469,289232,103170
822,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",1279,0.727272727272727,0.227095090909091,47.720485,250.720703,4303.001953,426.439405,61036,25894
823,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",96,0.272727272727273,0.0170454545454545,51.10148,689.126953,4181.423828,464.5625,104954,60870
824,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",25411,0.956989247311828,0.533665150537634,336.85023,1301.984375,11739.919921,831.486718,231405,133023
825,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",25,0.032258064516129,0.000525032258064516,251.684626,1264.617187,7832.984375,1299.8,137371,102792
826,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",5795,0.870967741935484,0.36510835483871,35.441782,1943.892578,15455.439453,737.677825,361639,264460
827,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",3,0.0606060606060606,0.000177545454545455,56.947157,659.30664,2549.861328,266,109779,51421
828,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",3,0.010752688172043,6.3e-05,191.804313,676.664062,7024.298828,843.666666,82351,68728
829,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",8650,1,0.544984870967742,69.568798,1952.208984,10393.001953,818.428439,502305,200056
830,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",6273,1,0.371271303030303,60.345689,570.697265,4243.552734,264.139964,111780,72555
831,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",15619,0.860215053763441,0.328019989247312,300.473129,927.902343,12218.86914,692.973941,152852,119103
832,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8359,0.96969696969697,0.494732454545455,78.452478,329.408203,4234.664062,304.941021,58557,42027
833,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",8157,1,0.513923870967742,88.491923,1219.498046,12084.271484,613.461689,251954,165981
834,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",2147,0.909090909090909,0.381214454545455,22.862756,187.095703,4583.847656,307.788542,49607,21013
835,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",8149,1,0.513419838709677,152.480372,1330.265625,11410.572265,642.962081,252745,171066
836,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",7977,1,0.472123575757576,51.179917,398.36914,4273.121093,279.167606,73291,36292
837,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",82,0.272727272727273,0.0145596363636364,36.536946,659.152343,4273.908203,582.621951,66268,56581
838,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",7,0.272727272727273,0.00124281818181818,81.906004,297.24414,2808.929687,525.857142,56945,31896
839,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",8246,1,0.519531225806452,114.00836,1774.785156,12443.849609,553.116905,357118,246996
840,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",6,0.0606060606060606,0.000355090909090909,116.187327,318.791015,2501.654296,347.333333,28942,23587
841,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",1647,0.818181818181818,0.292436,51.890558,359.048828,3852.667968,451.531876,68604,33431
842,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",4035,0.838709677419355,0.254221258064516,96.82313,2012.607421,14900.050781,985.745724,207551,161013
843,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",1345,0.636363636363636,0.238813909090909,46.9906,254.519531,5421.248046,477.872862,62656,29848
844,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",1116,0.727272727272727,0.198153363636364,61.235557,438.197265,4035.148437,386.866487,91177,50230
845,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",32,0.0645161290322581,0.00201612903225806,140.203861,1875.849609,12309.289062,1106,164594,156631
846,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",23430,0.89247311827957,0.492061483870968,309.975322,1032.140625,13240.023437,789.522962,183755,139330
847,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",42,0.032258064516129,0.00088205376344086,300.155559,763.24414,8254.03125,1183.047619,76996,62095
848,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",16,0.021505376344086,0.000336021505376344,276.345832,989.117187,10615.398437,983.25,93554,80770
849,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8600,1,0.508996181818182,88.494685,457.871093,4243.341796,280.414651,82951,50947
850,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",1182,0.419354838709677,0.0744707419354839,37.320598,1042.064453,12293.710937,1031.24027,245060,132211
851,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",46,0.0967741935483871,0.00289816129032258,178.731453,1430.705078,11130.111328,1201.195652,202807,136743
852,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",68,0.181818181818182,0.0120738181818182,65.017751,513.652343,3210.515625,607.794117,53779,44905
853,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8161,0.96969696969697,0.483013727272727,83.85464,728.476562,4296.113281,267.573214,137596,77493
854,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",2150,1,0.381747090909091,46.302141,737.240234,4035.421875,323.071162,114620,73369
855,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",34,0.021505376344086,0.000714043010752688,249.827735,1234.449218,8738.925781,1058.088235,199118,135253
856,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",8007,1,0.504473258064516,162.385389,1056.77539,11418.824218,657.944923,242108,112059
857,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",3370,1,0.598366454545455,29.028216,687.765625,3931.509765,256.677448,130100,61271
858,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",26917,0.956989247311828,0.565293172043011,280.186674,1850.798828,10459.107421,782.591373,449376,177416
859,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",8383,1,0.528162774193548,145.990941,950.578125,10005.042968,767.051771,220439,109070
860,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",3378,1,0.599786909090909,29.659072,495.621093,4978.642578,241.263469,83686,51798
861,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",10269,1,0.646988387096774,110.095114,1743.02539,12083.796875,543.702502,346688,231503
862,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",23014,0.946236559139785,0.483324924731183,319.780499,1428.527343,11649.609375,769.963239,240254,189102
863,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",24190,0.946236559139785,0.508022505376344,287.680811,1288.980468,12517.927734,758.320835,239631,135689
864,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",17488,0.870967741935484,0.367271505376344,261.678211,1084.890625,12432.746093,749.138952,187552,140594
865,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",30,0.010752688172043,0.000630032258064516,311.684467,1371.96875,11324.542968,1434.833333,107017,95635
866,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",24054,0.870967741935484,0.505166322580645,266.055242,1075.675781,12109.886718,749.257337,190081,126900
867,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",10,0.010752688172043,0.000210010752688172,19.350085,822.730468,11872.363281,1229.9,132019,84297
868,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8158,0.939393939393939,0.482836151515152,88.657778,488.822265,3672.513671,316.697474,93054,58690
869,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"r",2297,1,0.407848,21.640111,438.185546,4795.785156,234.478014,95952,36767
870,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",101,0.161290322580645,0.00636338709677419,235.751052,1200.523437,7759.271484,1075.80198,282893,112247
871,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",2636,0.909090909090909,0.156013242424242,31.444551,296.152343,4768.46875,258.028452,61750,33492
872,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"r",4013,0.967741935483871,0.252835161290323,80.196032,1167.576171,10694.277343,638.2614,251476,162492
873,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8662,0.939393939393939,0.512665696969697,38.402437,574.685546,5221.521484,252.748903,124278,53707
874,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",8120,0.939393939393939,0.480587121212121,86.030814,396.80664,4238.699218,288.462561,71390,51914
875,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",22015,0.924731182795699,0.462344580645161,298.407377,1222.509765,12063.734375,730.656824,212979,140737
876,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",7566,0.96969696969697,0.447798272727273,59.935391,627.701171,4646.492187,221.668252,91644,61089
877,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",27,0.032258064516129,0.000567032258064516,269.790849,1314.273437,9224.552734,1218.925925,102215,92770
878,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"r",27331,0.946236559139785,0.573987731182796,234.011051,1380.832031,12722.939453,709.030185,217242,156447
879,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",5,0.0606060606060606,0.000295909090909091,100.276164,441.175781,2621.160156,670.8,33923,28303
880,"a","mo","3_8",3,24,1,"s","b",3,8,625,93,12,78,"d",11468,0.709677419354839,0.240843408602151,112.390591,1945.80664,14818.175781,724.535751,261520,176700
881,"a","mo","3_8",3,24,1,"s","b",3,8,625,31,12,78,"d",274,0.193548387096774,0.0172630967741935,141.328693,1033.160156,9577.634765,1154.39051,114677,90028
882,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",100,0.272727272727273,0.0177556363636364,53.439392,304.267578,3992.544921,449.38,55692,26800
883,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"r",3593,0.909090909090909,0.212653878787879,42.72142,500.070312,4318.496093,237.052602,104258,57659
884,"a","mo","3_8",3,24,1,"s","b",3,8,225,11,4,28,"d",28,0.272727272727273,0.00497154545454545,94.160226,478.410156,3521.816406,440.499999,76825,45664
885,"a","mo","3_8",3,24,1,"s","b",3,8,225,33,4,28,"d",17,0.0909090909090909,0.00100615151515152,18.044391,697.271484,3423.125,371,125539,82518
