"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_D2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1,"a","g","b",3,10,625,93,12,78,"d",2265.12857142857,0.128356374807988,0.0475707442396313,0.443211262857143,133.33401786,3253.93629464571,811.286750288263,60770.1,6763.55142857143
2,"a","g","b",3,10,625,31,12,78,"r",9395.93714285714,0.867557603686636,0.591981926635945,1.83594929714286,153.450569197143,4696.50457031143,422.225922577549,69558.2142857143,8344.11714285714
3,"a","g","b",3,10,225,33,4,28,"r",8169.54571428571,0.811861471861472,0.483519515064935,1.59649530571429,51.2331194342857,1674.75555800286,163.925602152272,22972.2257142857,2861.84285714286
4,"a","g","b",3,10,625,93,12,78,"d",5684.91428571429,0.25136712749616,0.119390841167435,1.11112319142857,86.5367131742857,5450.94627788857,878.092233012566,34838.6228571429,6859.48571428571
5,"a","g","b",3,10,225,33,4,28,"d",642.471428571429,0.123982683982684,0.0380250607792208,0.126224805714286,69.6429520428571,696.585429685714,310.018713823075,33121.8285714286,2340.34857142857
6,"a","g","b",3,10,225,11,4,28,"d",0.145714285714286,0.0114285714285714,2.58709090909091e-05,0.000729842857142857,166.688850431429,738.905290162857,310.583333333333,73994.7257142857,9521.38285714286
7,"a","g","b",3,10,625,93,12,78,"d",3701.52285714286,0.247188940092166,0.0777369551459293,0.723671125714286,192.283258934286,3231.20247210857,679.89071835257,58584.5828571429,18291.14
8,"a","g","b",3,10,225,11,4,28,"r",2710.73428571429,0.863116883116883,0.481309354545455,0.53018296,39.9167857057143,1577.09497210571,168.391532168472,18364.5571428571,1908.27428571429
9,"a","g","b",3,10,625,31,12,78,"d",3550.19714285714,0.475391705069124,0.223676735115207,0.694154871428571,149.271997771429,3202.96409598571,694.937803494047,66654.0714285714,8443.66571428571
10,"a","g","b",3,10,625,31,12,78,"d",4233.55428571429,0.551336405529954,0.266730989953917,0.827654465714286,158.064084834286,3754.96839845143,745.216212741424,63438.2371428571,13875.7257142857
11,"a","g","b",3,10,225,11,4,28,"r",3065.61142857143,0.810649350649351,0.544320211948052,0.59950848,43.9810379285714,1578.83535715143,196.55677351159,18757.4428571429,2795.79428571429
12,"a","g","b",3,10,625,93,12,78,"r",27323.42,0.80952380952381,0.57382854516129,5.33750157142857,74.22328684,5796.92099886286,475.526589959233,34146.8657142857,3528.42857142857
13,"a","g","b",3,10,225,11,4,28,"d",1638.55428571429,0.675324675324675,0.290936484415584,0.320692437142857,35.7244419657143,749.255613831429,306.884717067831,15962.2571428571,1914.52
14,"a","g","b",3,10,225,33,4,28,"d",0.08,0.00225108225108225,4.73454545454545e-06,0.000797422857142857,47.55824778,503.771668528571,329.642857142857,22718.9657142857,1486.26857142857
15,"a","g","b",3,10,225,33,4,28,"d",2.42,0.0234632034632035,0.000143227012987013,0.00127880285714286,106.530876114286,502.368320317143,307.709784205693,44350.1914285714,9293.66571428571
16,"a","g","b",3,10,625,31,12,78,"r",9469.03714285714,0.883963133640553,0.596587521658986,1.85029058,62.9892299028571,4988.72553571143,331.308215358035,29693.3457142857,2416.61428571429
17,"a","g","b",3,10,225,11,4,28,"d",235.217142857143,0.205194805194805,0.0417644044155844,0.0466269942857143,91.0389006542857,710.009949771429,278.792752638205,42141.4657142857,4169.34857142857
18,"a","g","b",3,10,225,11,4,28,"d",1503.24571428571,0.588311688311688,0.266911523636364,0.294267368571429,80.0744029171429,936.403694228571,310.350074256882,38806.98,2118.04571428571
19,"a","g","b",3,10,625,31,12,78,"r",9487,0.843041474654378,0.597719253732719,1.85378911428571,80.2438671885714,4897.38438060857,427.595374404934,36838.0314285714,4002.08
20,"a","g","b",3,10,625,93,12,78,"r",28534.3771428571,0.837849462365591,0.599260272596006,5.57402225428571,84.01078126,5723.75291296286,303.014902385778,38349.4771428571,4263.7
21,"a","g","b",3,10,625,93,12,78,"r",24734.0057142857,0.792073732718894,0.519447364393241,4.83173258285714,87.5506138685714,4221.1323884,336.618940583707,39164.5714285714,5076.00285714286
22,"a","g","b",3,10,225,33,4,28,"r",8973.17714285714,0.795497835497835,0.531082927878788,1.75345362571429,25.4435825885714,2002.48382254286,218.089177583398,11632.7542857143,1306.93714285714
23,"a","g","b",3,10,225,33,4,28,"r",6342.58571428571,0.670735930735931,0.375389779134199,1.23962621714286,66.5886662885714,1324.53698102,182.956902984784,29581.1914285714,3835.41428571429
24,"a","g","b",3,10,625,31,12,78,"r",9967.71714285714,0.872165898617511,0.628006372165899,1.94769567142857,123.850351597143,5227.01526226857,332.538811667132,57267.3942857143,5779.2
25,"a","g","b",3,10,625,31,12,78,"r",9347.86,0.862764976958525,0.588952872534562,1.82659690285714,76.1012890657143,4572.29027342,404.803261491668,35576.7942857143,3238.79428571429
