"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_D2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1181,"a","s","u",4,10,625,31,12,78,"r",8585.926,0.880129032258064,0.540947959032258,377.231821722,856.85523834,21843.399152408,539.06764803678,153286.696,0
1182,"a","s","u",4,10,225,33,4,28,"r",7104.416,0.832787878787879,0.420479165636364,166.7809191,334.4187032,8176.218945402,237.128453135389,59406.008,0
1183,"a","s","u",4,10,225,11,4,28,"r",2889.35,0.884727272727273,0.513023790545455,107.694203504,307.153871162,8113.199257864,235.044930896723,51054.89,0
1184,"a","s","u",4,10,625,93,12,78,"r",21064.708,0.773333333333333,0.442387180817204,494.048088786,958.81223838,26311.855601632,660.294875851857,147635.138,0
1185,"a","s","u",4,10,625,93,12,78,"d",2051.866,0.135935483870968,0.043091943827957,290.981215106,1816.42395319,24852.404011774,1023.56249259933,322391.26,0
1186,"a","s","u",4,10,625,31,12,78,"d",2530.04,0.420774193548387,0.159402721935484,271.999428236,1061.426457082,25424.965757872,750.124246911651,170995.024,0
1187,"a","s","u",4,10,625,31,12,78,"r",8309.308,0.845032258064516,0.523519909677419,388.014651834,1137.372914128,21194.701988334,536.141524935251,208068.006,0
1188,"a","s","u",4,10,625,31,12,78,"d",3493.832,0.558,0.220125504129032,293.696148938,1533.329027396,25813.628289132,858.085083720472,180309.742,0
1189,"a","s","u",4,10,225,33,4,28,"r",7067.244,0.821636363636364,0.418279119575758,146.723109074,350.638625068,7623.32745319,239.903552586532,80882.428,0
1190,"a","s","u",4,10,225,33,4,28,"r",7860.044,0.839818181818182,0.465201468606061,169.878654,302.020953192,8831.129207086,234.112018943015,53070.896,0
1191,"a","s","u",4,10,625,31,12,78,"r",8044.688,0.859741935483871,0.506847782903226,400.95808393,785.711718824,26034.476082094,607.295906703248,137304.812,0
1192,"a","s","u",4,10,225,33,4,28,"d",827.012,0.199151515151515,0.0489472075151515,99.465369398,411.590894596,8644.509234426,370.65523694998,67825.548,0
1193,"a","s","u",4,10,225,11,4,28,"d",1582.114,0.693090909090909,0.280915128,94.28289196,331.359753978,8672.400461022,284.114859921946,61234.022,0
1194,"a","s","u",4,10,625,93,12,78,"r",20840.306,0.769784946236559,0.437674437053763,533.631797028,852.6364571,25666.081105538,621.676084200395,146010.08,0
1195,"a","s","u",4,10,225,11,4,28,"r",3079.37,0.902363636363636,0.546763139818182,119.318762466,300.055793024,9601.787628984,229.854634236207,48569.36,0
1196,"a","s","u",4,10,225,11,4,28,"d",1729.618,0.765272727272727,0.307105469636364,87.956058566,477.425253964,8691.719160216,290.475882626032,74876.792,0
1197,"a","s","u",4,10,625,93,12,78,"d",2045.282,0.149935483870968,0.0429536709032258,266.820305512,1211.060093806,25763.672464912,818.200537767674,233904.512,0
1198,"a","s","u",4,10,225,33,4,28,"r",7766.098,0.825515151515152,0.459641216727273,155.795383568,312.684242256,9002.320964916,227.389918915868,57122.702,0
1199,"a","s","u",4,10,225,33,4,28,"d",1373.67,0.237515151515152,0.0813014921818182,87.606027066,436.549632834,9668.016961008,322.943036709602,62558.812,0
1200,"a","s","u",4,10,625,93,12,78,"d",1315.668,0.102043010752688,0.0276307964086022,325.112861466,1562.287878972,21405.726343796,1106.56811329194,235391.378,0
1201,"a","s","u",4,10,625,31,12,78,"d",2359.124,0.431741935483871,0.148634324,284.244834944,1136.09976959,23850.69216023,993.554607816759,198162.092,0
1202,"a","s","u",4,10,625,31,12,78,"d",1506.112,0.320387096774194,0.094891129483871,214.008251878,1202.324398508,25465.367949288,1049.12654957316,235199.464,0
1203,"a","s","u",4,5,225,11,4,28,"d",960.17,0.543454545454545,0.170484729636364,84.057106004,245.893718808,4182.945461002,275.070959598052,43889.574,0
1204,"a","s","u",4,5,225,11,4,28,"r",1421.478,0.734545454545455,0.252393111090909,82.127189632,157.722320374,4123.662988354,301.85948644549,27356.016,0
1205,"a","s","u",4,5,625,93,12,78,"r",8131.102,0.417182795698925,0.170764071139785,434.66243501,639.48212898,12824.466339902,618.248199048234,83445.298,0
1206,"a","s","u",4,5,225,11,4,28,"d",686.062,0.468545454545455,0.121814987636364,47.474308042,163.535195376,4154.206003974,457.610856378593,33300.662,0
1207,"a","s","u",4,5,225,11,4,28,"r",1086.718,0.654909090909091,0.192954193090909,70.736228056,155.370593802,4002.83528521,266.299048162162,24337.008,0
1208,"a","s","u",4,5,225,11,4,28,"r",1491.292,0.729090909090909,0.264789062181818,88.99708289,218.867722714,4204.733164112,361.762937827481,45857.14,0
1209,"a","s","u",4,5,625,93,12,78,"r",7308.88,0.384774193548387,0.15349630372043,394.064632012,519.86851959,12667.405578172,629.232272379205,98189.342,0
1210,"a","s","u",4,5,625,93,12,78,"d",397.124,0.044989247311828,0.00834013772043011,165.086166162,514.171910216,11359.769011788,683.62322526059,82374.066,0
1211,"a","s","u",4,5,625,31,12,78,"r",2375.424,0.448451612903226,0.149661290967742,331.30568962,533.703054758,10711.58666802,634.010284949343,68393.008,0
1212,"a","s","u",4,5,225,33,4,28,"d",100.862,0.0395151515151515,0.00596957721212121,66.91503123,211.01653133,3862.14374226,420.506381233631,39741.082,0
1213,"a","s","u",4,5,625,31,12,78,"r",3241.266,0.551483870967742,0.204212827935484,310.822322036,599.867824292,12716.993019582,651.342553207419,82150.384,0
1214,"a","s","u",4,5,625,31,12,78,"d",198.82,0.0944516129032258,0.0125264618709677,118.51372633,685.552492236,9337.324839926,1346.26995485997,152433.332,0
1215,"a","s","u",4,5,225,33,4,28,"r",2789.15,0.482424242424242,0.165077533515152,133.561607278,197.308148484,4147.495308648,326.763540058236,29221.256,0
1216,"a","s","u",4,5,625,31,12,78,"d",699.202,0.193225806451613,0.0440525459354839,128.064624244,652.163343828,11265.45493366,650.699929404054,112294.024,0
1217,"a","s","u",4,5,625,93,12,78,"r",9143.886,0.433806451612903,0.192033896064516,320.776305026,470.799210978,13119.94107036,640.151087280497,87415.31,0
1218,"a","s","u",4,5,225,33,4,28,"r",3014.554,0.492060606060606,0.178418205757576,140.98464047,194.913503964,3702.751464926,250.157448247871,36848.04,0
1219,"a","s","u",4,5,625,93,12,78,"r",8900.3,0.439204301075269,0.186918262817204,428.595611072,472.930699282,12650.619949268,582.401577935924,80096.158,0
1220,"a","s","u",4,5,225,11,4,28,"r",1399.27,0.722,0.248449930727273,99.672145204,170.50866801,3995.702683646,259.634339234374,36482.19,0
1221,"a","s","u",4,5,625,31,12,78,"d",1259.814,0.27858064516129,0.0793733623225806,191.754155158,1937.713941474,13320.133918034,1020.31435147605,249419.432,0
1222,"a","s","u",4,5,625,31,12,78,"r",3348.064,0.552387096774194,0.210941532387097,291.105335,1349.244089902,10926.76115633,881.815031264256,165338.968,0
1223,"a","s","u",4,5,625,93,12,78,"d",492.016,0.053505376344086,0.010332997311828,190.74377148,489.321054736,11650.442351632,1044.90017114184,94885.556,0
1224,"a","s","u",4,5,625,93,12,78,"r",10508.964,0.483376344086022,0.220702368946237,456.031630216,657.449519588,12410.187109442,655.111263270269,71042.23,0
1225,"a","s","u",4,5,225,33,4,28,"d",345.076,0.0950909090909091,0.020423532,60.709884438,234.183335988,3314.145222742,564.108162362491,32341.718,0
1226,"a","s","u",4,5,625,31,12,78,"d",198.998,0.098,0.0125376769677419,74.586489566,453.130875072,11575.40487115,861.270514887573,89675.05,0
1227,"a","s","u",4,5,225,33,4,28,"d",0.206,0.00557575757575758,1.21914545454545e-05,25.196789116,161.790628986,3902.866027424,470.884408602151,24891.758,0
1228,"a","s","u",4,5,625,93,12,78,"d",351.49,0.0486236559139785,0.00738176243010753,118.910011928,547.322097726,9439.282480542,957.721713376602,96944.02,0
1229,"a","s","u",4,5,225,11,4,28,"d",271.178,0.299090909090909,0.0481495027272727,37.97081807,184.844148504,3489.620843822,346.173807241961,34331.416,0
1230,"a","s","u",4,5,225,33,4,28,"r",2280.978,0.422909090909091,0.135001064969697,126.238784266,205.543597742,3793.011589898,277.336609024113,41271.778,0
1231,"a","s","u",4,5,625,93,12,78,"d",239.178,0.0318924731182796,0.00502305931182796,146.93522624,613.039605512,11361.696449284,988.178500625792,121231.884,0
1232,"a","s","u",4,5,625,93,12,78,"d",163.458,0.0294623655913979,0.00343283776344086,152.209580616,792.682246164,9961.223082116,1095.4845683827,108250.388,0
1233,"a","s","u",4,5,625,31,12,78,"d",1041.83,0.269548387096774,0.0656394919354839,180.579236332,617.696468818,13381.291293008,1019.19327816933,104879.738,0
1234,"a","s","u",4,5,225,33,4,28,"r",3177.712,0.543878787878788,0.188074810969697,121.25188164,169.507597698,3920.204769596,254.737155071424,34182.296,0
1235,"a","s","u",4,5,225,11,4,28,"r",1435.056,0.745636363636364,0.254803974545455,88.358118148,164.336925844,4354.986390702,261.350378573946,32312.092,0
1236,"a","s","u",4,5,625,31,12,78,"r",3408.138,0.539354838709677,0.214726436451613,269.78606452,629.303945386,12704.719238362,573.909181366857,110446.862,0
1237,"a","s","u",4,5,225,33,4,28,"d",579.23,0.122060606060606,0.0342820782424242,58.689065326,183.43712897,4013.480523512,345.649264825225,32535.06,0
1238,"a","s","u",4,5,225,33,4,28,"d",492.272,0.148424242424242,0.0291354171515152,56.32704979,207.349519594,4401.823976618,377.270360954198,41461.986,0
1239,"a","s","u",4,5,225,33,4,28,"r",3408.97,0.534666666666667,0.20176195569697,151.38676963,252.530484426,3746.1373477,226.947031249523,32510.644,0
1240,"a","s","u",4,5,625,31,12,78,"r",4585.512,0.667161290322581,0.288905746580645,328.413948856,443.717203194,12517.182132866,639.6657293576,80821.17,0
1241,"a","s","u",4,5,225,11,4,28,"d",622.576,0.393818181818182,0.110542612909091,42.76345657,158.611523486,4055.947332086,301.674340930968,29551.232,0
1242,"a","s","u",4,5,225,11,4,28,"d",474.66,0.371818181818182,0.0842791194545455,33.736733422,242.571195388,4125.453257852,342.15127337759,37624.92,0
1243,"e","g","b",3,10,625,31,12,78,"r",7501.856,0.814387096774194,0.472647177612903,1.466032054,186.471871098,3418.349664042,329.862613914182,80628.788,13465.896
1244,"e","g","b",3,10,625,31,12,78,"d",1183.7,0.248387096774194,0.0745778732903226,0.23189428,193.45098437,2080.723000004,622.274044267433,82755.236,14083.324
1245,"e","g","b",3,10,225,11,4,28,"d",1230.73,0.596,0.218524503818182,0.241121916,99.089500024,923.34844142,206.447284321646,45601.754,4678.032
1246,"e","g","b",3,10,625,31,12,78,"r",8729.038,0.85941935483871,0.549964591806452,1.705722802,198.337875002,3607.343011716,367.36765892546,82224.878,17208.322
1247,"e","g","b",3,10,225,11,4,28,"r",2486.402,0.845272727272727,0.441477629090909,0.486362364,32.90980471,1401.95015625,175.144686967857,14681.952,2069.944
1248,"e","g","b",3,10,225,11,4,28,"d",309.91,0.261272727272727,0.0550266323636364,0.061219396,40.960621086,721.131878902,362.562471733069,18490.826,2298.028
1249,"e","g","b",3,10,625,31,12,78,"r",7882.172,0.84341935483871,0.496608619032258,1.540278956,130.33841796,2872.540386734,261.868812562326,59372.692,6861.044
1250,"e","g","b",3,10,625,93,12,78,"d",4102.702,0.270817204301075,0.0861622561935484,0.802053428,435.503179698,2305.640625018,469.738893900542,126971.064,59257.092
1251,"e","g","b",3,10,225,11,4,28,"d",270.218,0.209090909090909,0.0479790494545455,0.053480528,36.484812498,710.046000002,251.500013272921,16953.802,1782.05
1252,"e","g","b",3,10,225,33,4,28,"d",0.018,0.000545454545454545,1.06527272727273e-06,0.00074939,57.50941798,478.73429685,222.333333333333,27239.91,2102.786
1253,"e","g","b",3,10,225,11,4,28,"d",1.026,0.0138181818181818,0.000182172727272727,0.000930732,56.664437508,642.351128918,343.25,25860.034,2926.88
1254,"e","g","b",3,10,625,93,12,78,"r",25312.852,0.817784946236559,0.531603914537634,4.944818414,91.484632816,4403.436667984,280.774037087688,41285.458,5073.568
1255,"e","g","b",3,10,625,31,12,78,"r",9369.092,0.891548387096774,0.590290575225806,1.830755144,113.691742174,3708.351683606,342.686394734864,52862.248,5047.794
1256,"e","g","b",3,10,625,31,12,78,"d",2128.692,0.366774193548387,0.134116178516129,0.416501396,146.606105462,2528.067117182,682.385245691976,62838.82,11003.758
1257,"e","g","b",3,10,225,11,4,28,"r",2708.46,0.863636363636364,0.480905543090909,0.529727544,83.193347664,1311.424281236,190.022879102615,32949.898,8232.282
1258,"e","g","b",3,10,625,93,12,78,"r",22006.154,0.765010752688172,0.462158812387097,4.298922504,103.081761734,3637.130683604,403.685624104403,47463.596,5014.674
1259,"e","g","b",3,10,625,93,12,78,"r",22621.776,0.785806451612903,0.475087701612903,4.419171468,115.34749217,3891.888679678,382.805402218608,49282.566,8982.566
1260,"e","g","b",3,10,225,11,4,28,"r",2453.296,0.840545454545455,0.435599432545455,0.479898104,35.28078907,1299.294933586,215.068742566967,16071.898,1843.224
1261,"e","g","b",3,10,625,93,12,78,"d",2464.03,0.172752688172043,0.051747941655914,0.48200727,258.549261716,1850.013925768,641.761519537855,97038.778,28494.642
1262,"e","g","b",3,10,625,93,12,78,"d",3396.462,0.21552688172043,0.0713302669247312,0.664127542,411.550554684,1996.164906266,551.640081583425,138999.968,53290.142
1263,"e","g","b",3,10,625,31,12,78,"d",1348.53,0.298064516129032,0.0849628278064516,0.264107064,281.711910156,2578.008113284,740.618567434288,107346.474,31102.912
1264,"e","g","b",3,10,625,31,12,78,"d",1548.436,0.306451612903226,0.0975577123870968,0.303151416,181.061730458,2292.818265642,746.021025167102,82229.322,9809.618
1265,"e","g","b",3,10,225,33,4,28,"d",679.742,0.133575757575758,0.0402309429090909,0.13351018,49.261031244,569.063507818,294.771098957529,21932.418,3072.162
1266,"e","g","b",3,10,225,11,4,28,"d",1687.25,0.719090909090909,0.299582741636364,0.330280882,41.241839844,784.206089836,320.011680535002,18996.064,1971.32
1267,"e","g","b",3,10,225,33,4,28,"r",6722.066,0.730242424242424,0.397849550424242,1.313746054,85.611324198,1363.118683584,133.446935356362,32061.848,9564.05
1268,"e","g","b",3,10,225,33,4,28,"r",7452.65,0.778545454545455,0.441089607636364,1.456458594,35.338999986,1521.745292982,149.664485578779,16516.868,1517.946
1269,"e","g","b",3,10,625,31,12,78,"r",8684.066,0.856258064516129,0.54713117483871,1.696925998,163.774003882,3562.256230452,392.120246406253,74385.55,8689.812
